dataset,class,defect_type,adaptclip,anomalyclip,adapt_minus_anomaly,better_model
mvtec,cable,bent_wire,0.810344827586207,0.8103448275862069,1.1102230246251565e-16,adaptclip
mvtec,cable,cable_swap,0.7456896551724138,0.9640804597701149,-0.2183908045977011,anomalyclip
mvtec,cable,combined,0.938871473354232,0.945141065830721,-0.00626959247648895,anomalyclip
mvtec,cable,cut_inner_insulation,0.79064039408867,0.8780788177339901,-0.08743842364532006,anomalyclip
mvtec,cable,cut_outer_insulation,0.9793103448275862,0.943103448275862,0.036206896551724155,adaptclip
mvtec,cable,missing_cable,0.6494252873563218,0.9813218390804597,-0.3318965517241379,anomalyclip
mvtec,cable,missing_wire,0.9137931034482758,0.7465517241379311,0.16724137931034466,adaptclip
mvtec,cable,poke_insulation,0.9344827586206896,0.7586206896551725,0.17586206896551715,adaptclip
mvtec,pill,color,0.8492307692307692,0.8892307692307693,-0.040000000000000036,anomalyclip
mvtec,pill,combined,0.9230769230769231,0.8981900452488688,0.02488687782805432,adaptclip
mvtec,pill,contamination,0.8663003663003663,0.8443223443223443,0.02197802197802201,adaptclip
mvtec,pill,crack,0.826923076923077,0.6523668639053255,0.17455621301775148,adaptclip
mvtec,pill,faulty_imprint,0.9129554655870444,0.8097165991902833,0.10323886639676116,adaptclip
mvtec,pill,pill_type,0.9102564102564102,0.9743589743589745,-0.06410256410256421,anomalyclip
mvtec,pill,scratch,0.842948717948718,0.8253205128205128,0.017628205128205177,adaptclip
mvtec,screw,manipulated_front,0.8963414634146342,0.7693089430894309,0.1270325203252033,adaptclip
mvtec,screw,scratch_head,0.8404471544715448,0.8272357723577235,0.013211382113821335,adaptclip
mvtec,screw,scratch_neck,0.8234146341463414,0.84,-0.01658536585365855,anomalyclip
mvtec,screw,thread_side,0.8123011664899258,0.8727465535524921,-0.0604453870625663,anomalyclip
mvtec,screw,thread_top,0.9225874867444327,0.9077412513255567,0.014846235418875975,adaptclip
mvtec,transistor,bent_lead,0.9216666666666666,0.8633333333333333,0.05833333333333335,adaptclip
mvtec,transistor,cut_lead,0.8483333333333334,0.9133333333333333,-0.06499999999999995,anomalyclip
mvtec,transistor,damaged_case,0.995,0.8866666666666667,0.10833333333333328,adaptclip
mvtec,transistor,misplaced,0.7816666666666666,0.8316666666666667,-0.050000000000000044,anomalyclip
visa,cashew,unknown,0.862,0.9582,-0.09620000000000006,anomalyclip
visa,macaroni1,unknown,0.8271,0.8864,-0.05930000000000002,anomalyclip
visa,macaroni2,unknown,0.715,0.7802,-0.06520000000000004,anomalyclip
visa,pcb2,unknown,0.6613999999999999,0.6894,-0.028000000000000136,anomalyclip
visa,pcb3,unknown,0.6546534653465346,0.7672277227722772,-0.11257425742574267,anomalyclip
