model,defect_type,defect_auroc,n_defect,mean_defect_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score
adaptclip,print,18.82352941176471,17,0.6226,0.1417,0.2761,0.4252,0.3993,0.8245
adaptclip,hole,92.3611111111111,18,0.9157,0.0702,0.0401,0.2847,0.6827,0.9675
adaptclip,cut,93.08823529411765,17,0.8949,0.0438,0.043,0.1565,0.7914,0.9479
adaptclip,crack,98.47222222222223,18,0.9187,0.0299,0.0234,0.1151,0.8589,0.974
anomalyclip,print,51.764705882352935,17,0.8424,0.077,0.1124,0.2643,0.6797,0.9441
anomalyclip,cut,88.23529411764706,17,0.9312,0.0379,0.044,0.1433,0.8411,0.9844
anomalyclip,crack,97.36111111111111,18,0.9625,0.0238,0.0179,0.0935,0.8933,0.9869
anomalyclip,hole,99.16666666666667,18,0.9712,0.0191,0.0217,0.0652,0.9306,0.9958
winclip,print,86.61764705882352,17,0.6095,0.174,0.2529,0.6069,0.2451,0.8521
winclip,cut,93.45588235294117,17,0.6598,0.1551,0.228,0.5244,0.3774,0.9019
winclip,hole,90.48611111111111,18,0.6136,0.1327,0.2352,0.3547,0.4226,0.7773
winclip,crack,99.02777777777779,18,0.7108,0.1083,0.1653,0.335,0.5391,0.874
