model,defect_type,defect_auroc,mean_defect_score,model_median_defect_score,confidence_margin_vs_model_median,mean_good_score,score_gap,bottom_anomaly_score,n_defect,well_ranked_but_weakly_activated
winclip,manipulated_front,50.30487804878049,0.2136,0.2736,-0.06,0.2083,0.0054,0.1225,24,False
adaptclip,scratch_head,84.04471544715449,0.8456,0.8661,-0.0204,0.8119,0.0338,0.8136,24,False
winclip,thread_side,73.54188759278897,0.2584,0.2736,-0.0152,0.2083,0.0502,0.1384,23,False
adaptclip,thread_side,81.23011664899258,0.859,0.8661,-0.0071,0.8119,0.0471,0.7766,23,False
anomalyclip,manipulated_front,73.17073170731707,0.9906,0.992,-0.0013,0.9863,0.0043,0.9815,24,False
anomalyclip,thread_side,79.95758218451749,0.9919,0.992,-0.0001,0.9863,0.0056,0.9813,23,False
anomalyclip,scratch_neck,84.78048780487805,0.992,0.992,0.0,0.9863,0.0056,0.9782,25,False
adaptclip,scratch_neck,82.34146341463415,0.8661,0.8661,0.0,0.8119,0.0542,0.7557,25,False
winclip,scratch_neck,75.26829268292683,0.2736,0.2736,0.0,0.2083,0.0654,0.1824,25,False
anomalyclip,scratch_head,82.72357723577237,0.9921,0.992,0.0001,0.9863,0.0058,0.9869,24,False
anomalyclip,thread_top,90.03181336161188,0.9937,0.992,0.0017,0.9863,0.0073,0.9868,23,False
winclip,scratch_head,76.77845528455285,0.2784,0.2736,0.0048,0.2083,0.0701,0.15,24,False
adaptclip,manipulated_front,89.63414634146342,0.8801,0.8661,0.0141,0.8119,0.0683,0.7986,24,False
adaptclip,thread_top,92.25874867444327,0.89,0.8661,0.0239,0.8119,0.0781,0.8145,23,False
winclip,thread_top,84.51749734888652,0.3272,0.2736,0.0536,0.2083,0.1189,0.1733,23,False
