model,dataset,class,n_defect_types,mean_auroc,median_auroc,min_auroc,max_auroc,mean_auroc_pct
adaptclip,mvtec,cable,8,0.8453197305567995,0.8620689655172413,0.6494252873563218,0.9793103448275862,84.53197305567996
adaptclip,mvtec,pill,7,0.8759559613319012,0.8663003663003663,0.826923076923077,0.9230769230769231,87.59559613319013
adaptclip,mvtec,screw,5,0.8590183810533757,0.8404471544715448,0.8123011664899258,0.9225874867444327,85.90183810533757
adaptclip,mvtec,transistor,4,0.8866666666666667,0.885,0.7816666666666666,0.995,88.66666666666667
adaptclip,visa,cashew,1,0.862,0.862,0.862,0.862,86.2
adaptclip,visa,macaroni1,1,0.8271,0.8271,0.8271,0.8271,82.71
adaptclip,visa,macaroni2,1,0.715,0.715,0.715,0.715,71.5
adaptclip,visa,pcb2,1,0.6613999999999999,0.6613999999999999,0.6613999999999999,0.6613999999999999,66.13999999999999
adaptclip,visa,pcb3,1,0.6546534653465346,0.6546534653465346,0.6546534653465346,0.6546534653465346,65.46534653465346
anomalyclip,mvtec,cable,8,0.8784053590088072,0.9105911330049261,0.7465517241379311,0.9813218390804597,87.84053590088072
anomalyclip,mvtec,pill,7,0.8419294441538684,0.8443223443223443,0.6523668639053255,0.9743589743589745,84.19294441538683
anomalyclip,mvtec,screw,5,0.8434065040650406,0.84,0.7693089430894309,0.9077412513255567,84.34065040650405
anomalyclip,mvtec,transistor,4,0.87375,0.875,0.8316666666666667,0.9133333333333333,87.375
anomalyclip,visa,cashew,1,0.9582,0.9582,0.9582,0.9582,95.82000000000001
anomalyclip,visa,macaroni1,1,0.8864,0.8864,0.8864,0.8864,88.64
anomalyclip,visa,macaroni2,1,0.7802,0.7802,0.7802,0.7802,78.02
anomalyclip,visa,pcb2,1,0.6894,0.6894,0.6894,0.6894,68.94
anomalyclip,visa,pcb3,1,0.7672277227722772,0.7672277227722772,0.7672277227722772,0.7672277227722772,76.72277227722772
