dataset,class,defect_type,label,n_samples,mean_score_range,max_score_range,adaptclip_mean_score,anomalyclip_mean_score,winclip_mean_score,mean_abs_diff_adaptclip_vs_anomalyclip,mean_abs_diff_adaptclip_vs_winclip,mean_abs_diff_anomalyclip_vs_winclip
visa,macaroni1,Anomaly,1,100,0.868,0.9273,0.4983,0.943,0.075,0.4447,0.4233,0.868
mvtec,pill,pill_type,1,9,0.8563,0.9545,0.745,0.9916,0.1353,0.2465,0.6098,0.8563
visa,pcb3,Anomaly,1,100,0.8422,0.9375,0.7574,0.9053,0.0632,0.1479,0.6943,0.8422
visa,macaroni2,Anomaly,1,100,0.8251,0.9198,0.9551,0.953,0.1364,0.015,0.8187,0.8166
mvtec,cable,cable_swap,1,12,0.808,0.8769,0.8417,0.9449,0.1369,0.1032,0.7048,0.808
mvtec,cable,poke_insulation,1,10,0.8042,0.8641,0.8742,0.9213,0.1226,0.0582,0.7516,0.7986
mvtec,cable,missing_wire,1,10,0.8022,0.8762,0.8622,0.9175,0.1185,0.0618,0.7436,0.799
mvtec,cable,cut_outer_insulation,1,10,0.799,0.8641,0.8925,0.9398,0.1408,0.0473,0.7517,0.799
mvtec,screw,manipulated_front,1,24,0.765,0.8703,0.8801,0.9786,0.2136,0.0985,0.6665,0.765
mvtec,cable,cut_inner_insulation,1,14,0.75,0.8844,0.8477,0.9305,0.1805,0.0828,0.6673,0.75
mvtec,cable,combined,1,11,0.7495,0.8515,0.8682,0.9541,0.2046,0.086,0.6636,0.7495
mvtec,cable,missing_cable,1,12,0.747,0.8601,0.8337,0.9556,0.2086,0.1219,0.6252,0.747
mvtec,screw,thread_side,1,23,0.7249,0.8544,0.859,0.9833,0.2584,0.1243,0.6005,0.7249
visa,pcb2,Anomaly,1,100,0.7095,0.8784,0.7641,0.8554,0.1463,0.092,0.6178,0.7091
mvtec,screw,scratch_neck,1,25,0.708,0.8095,0.8661,0.9817,0.2736,0.1156,0.5925,0.708
mvtec,screw,scratch_head,1,24,0.702,0.8344,0.8456,0.9804,0.2784,0.1348,0.5673,0.702
mvtec,pill,color,1,25,0.7003,0.7866,0.6636,0.9857,0.2854,0.3221,0.3783,0.7003
mvtec,pill,contamination,1,21,0.6767,0.7513,0.6818,0.9821,0.3054,0.3003,0.3764,0.6767
mvtec,pill,scratch,1,24,0.6763,0.7911,0.6732,0.9825,0.3061,0.3093,0.3671,0.6763
mvtec,pill,crack,1,26,0.6757,0.7929,0.6462,0.9782,0.3024,0.332,0.3438,0.6757
mvtec,screw,thread_top,1,23,0.6578,0.8096,0.89,0.9849,0.3272,0.095,0.5628,0.6578
mvtec,pill,faulty_imprint,1,19,0.6575,0.7406,0.7264,0.9829,0.3254,0.2565,0.401,0.6575
mvtec,cable,bent_wire,1,13,0.6516,0.849,0.8549,0.9226,0.271,0.0677,0.5839,0.6516
mvtec,transistor,cut_lead,1,10,0.5899,0.7132,0.8245,0.8834,0.2934,0.0589,0.531,0.5899
mvtec,pill,combined,1,17,0.5684,0.6791,0.7524,0.9864,0.418,0.234,0.3344,0.5684
visa,cashew,Anomaly,1,100,0.5214,0.7897,0.5974,0.97,0.4559,0.3726,0.156,0.5142
mvtec,transistor,bent_lead,1,10,0.5142,0.6452,0.8404,0.868,0.3585,0.037,0.4819,0.5096
mvtec,transistor,damaged_case,1,10,0.4503,0.5754,0.9038,0.8816,0.4552,0.0256,0.4486,0.4264
mvtec,transistor,misplaced,1,10,0.3783,0.5763,0.8086,0.8647,0.4866,0.0565,0.322,0.378
visa,macaroni1,good,0,100,0.8389,0.9322,0.406,0.8886,0.0496,0.4826,0.3563,0.8389
visa,macaroni2,good,0,100,0.8274,0.9258,0.9107,0.92,0.1062,0.0365,0.8045,0.8138
visa,pcb3,good,0,101,0.8174,0.8821,0.7148,0.8734,0.056,0.1585,0.6589,0.8174
mvtec,cable,good,0,58,0.8044,0.8958,0.8255,0.8895,0.0851,0.064,0.7404,0.8044
mvtec,screw,good,0,41,0.7554,0.8821,0.8119,0.9637,0.2083,0.1518,0.6036,0.7554
mvtec,pill,good,0,26,0.7413,0.8115,0.4704,0.9748,0.2335,0.5044,0.2369,0.7413
visa,pcb2,good,0,100,0.6684,0.7589,0.6974,0.8208,0.1524,0.1234,0.545,0.6684
visa,cashew,good,0,50,0.6123,0.6982,0.3625,0.9063,0.2988,0.5438,0.0733,0.6075
mvtec,transistor,good,0,60,0.5715,0.7004,0.7394,0.789,0.2184,0.0515,0.521,0.5705
