dataset,class,defect_type,adaptclip,anomalyclip,winclip,mean_auroc_pct,all_models_low
visa,pcb2,Anomaly,66.13999999999999,68.94,47.03,60.703333333333326,True
visa,pcb3,Anomaly,65.46534653465346,76.72277227722772,63.65841584158416,68.61551155115511,True
visa,macaroni2,Anomaly,71.5,78.02,66.795,72.105,True
mvtec,pill,pill_type,91.02564102564102,97.43589743589745,5.341880341880341,64.6011396011396,False
mvtec,screw,manipulated_front,89.63414634146342,76.93089430894308,50.30487804878049,72.289972899729,False
mvtec,pill,crack,82.6923076923077,65.23668639053255,81.58284023668638,76.50394477317553,False
mvtec,cable,missing_wire,91.37931034482759,74.65517241379311,72.24137931034483,79.42528735632185,False
mvtec,screw,scratch_neck,82.34146341463415,84.0,75.26829268292683,80.53658536585367,False
mvtec,screw,thread_side,81.23011664899258,87.27465535524921,73.54188759278897,80.68221986567691,False
mvtec,screw,scratch_head,84.04471544715449,82.72357723577235,76.77845528455285,81.18224932249323,False
mvtec,cable,poke_insulation,93.44827586206897,75.86206896551725,77.58620689655173,82.29885057471266,False
visa,macaroni1,Anomaly,82.71,88.64,78.83,83.39333333333333,False
mvtec,cable,cut_inner_insulation,79.064039408867,87.807881773399,84.79064039408867,83.88752052545156,False
mvtec,pill,color,84.92307692307692,88.92307692307693,78.92307692307693,84.25641025641026,False
mvtec,cable,cable_swap,74.56896551724138,96.4080459770115,82.54310344827587,84.50670498084291,False
mvtec,cable,missing_cable,64.94252873563218,98.13218390804596,90.58908045977012,84.55459770114942,False
mvtec,pill,scratch,84.2948717948718,82.53205128205127,87.50000000000001,84.77564102564104,False
mvtec,transistor,cut_lead,84.83333333333334,91.33333333333333,78.75000000000001,84.97222222222223,False
mvtec,cable,bent_wire,81.0344827586207,81.03448275862068,93.23607427055703,85.10167992926614,False
mvtec,transistor,misplaced,78.16666666666666,83.16666666666667,95.33333333333334,85.55555555555554,False
